"nid","title","body","body_format","body_summary","sinopsis","image_fid","archivo_fid"
"8","Realizarán archivo bibliográfico y documental del cineasta Boris Goldenblank","NULL","NULL","NULL","Estará a cargo de especialista del Museo Estadounidense Conmemorativo del Holocausto (USHMM)","537","NULL"
"12","Socializan proyecto del Parque Mirador con académicos del CUAAD","NULL","NULL","NULL","Se reúnen en las instalaciones del centro universitario el Rector, funcionario del gobierno, académicos y vecinos de la zona que desconocían el proyecto","541","548"
"12","Socializan proyecto del Parque Mirador con académicos del CUAAD","NULL","NULL","NULL","Se reúnen en las instalaciones del centro universitario el Rector, funcionario del gobierno, académicos y vecinos de la zona que desconocían el proyecto","542","548"
"12","Socializan proyecto del Parque Mirador con académicos del CUAAD","NULL","NULL","NULL","Se reúnen en las instalaciones del centro universitario el Rector, funcionario del gobierno, académicos y vecinos de la zona que desconocían el proyecto","543","548"
"12","Socializan proyecto del Parque Mirador con académicos del CUAAD","NULL","NULL","NULL","Se reúnen en las instalaciones del centro universitario el Rector, funcionario del gobierno, académicos y vecinos de la zona que desconocían el proyecto","544","548"
"12","Socializan proyecto del Parque Mirador con académicos del CUAAD","NULL","NULL","NULL","Se reúnen en las instalaciones del centro universitario el Rector, funcionario del gobierno, académicos y vecinos de la zona que desconocían el proyecto","545","548"
"12","Socializan proyecto del Parque Mirador con académicos del CUAAD","NULL","NULL","NULL","Se reúnen en las instalaciones del centro universitario el Rector, funcionario del gobierno, académicos y vecinos de la zona que desconocían el proyecto","546","548"
"13","Ejemplo noticia 2: Drupal-07","NULL","NULL","NULL","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean lacinia. ","13","14"
"687","Fallece el escultor Juan José Méndez Hernández","NULL","NULL","NULL","Fue egresado de esta Casa de Estudio","529","NULL"
"688","En proceso de reacreditación Licenciatura en Arquitectura","NULL","NULL","NULL","NULL","530","NULL"
"689","IMEPLAN y CUAAD harán estudio urbano sobre Línea 3 del Tren Ligero","NULL","NULL","NULL","NULL","531","NULL"
"691","Conviven jóvenes universitarios con Ignacio López Tarso","NULL","NULL","NULL","NULL","533","NULL"
"691","Conviven jóvenes universitarios con Ignacio López Tarso","NULL","NULL","NULL","NULL","549","NULL"
"706","Preparan un sistema de agua pluvial para huerto en el CUAAD","NULL","NULL","NULL","Se buscan recursos económicos","642","NULL"
"707","Estrenarán documental “La hora de la siesta” en Cineforo","NULL","NULL","NULL","El filme sobre la tragedia de la guardería ABC fue producido por tapatíos","643","NULL"
"712","Aumenta el número de jóvenes empresarios en Guadalajara","NULL","NULL","NULL","CUAAD forma parte del grupo de Emprendedores Universitarios de la Cámara de Comercio","659","NULL"
"713","Darán vida a tejido social, vivienda y urbanismo en Huentitán el bajo","NULL","NULL","NULL","CUAAD realizó un diagnóstico y los planes respectivos","672","NULL"
"757","Analizan patrimonio histórico y cultural de edificación en Guadalajara","NULL","NULL","NULL"," CUAAD, Universidad de Carleton y Museo de la Ciudad de Guadalajara realizan taller del 16 al 28 de febrero.","774","NULL"
"759","Abren concurso para fomentar el uso de la bicicleta","NULL","NULL","NULL"," Está dirigido a todos los estudiantes de esta Casa de Estudio","800","NULL"
"763","Presentan resultados del Taller de Patrimonio Histórico y Cultural","NULL","NULL","NULL","Participaron alumnos de la UdeG y la Universidad de Carleton.","852","NULL"
"771","Inauguran segundo ciclopuerto en el CUAAD","NULL","NULL","NULL","Egresado dona espacios para bicicletas","910","NULL"
"772","Celebran 38 años de Licenciatura en Diseño de Interiores y Ambientación","NULL","NULL","NULL","Conferencias, talleres y exposición de fotografías son parte del festejo","911","NULL"
"801","Estrenarán en Guadalajara el documental “Humano”","NULL","NULL","NULL"," Su director Alan Stivelman ofreció una charla en el CUAAD","960","NULL"
"803","Mayor vinculación del CUAAD con la sociedad, uno de sus mayores logros","NULL","NULL","NULL","Rector del CUAAD brinda su segundo Informe de actividades. Inauguran un laboratorio y develan mural en homenaje al maestro Boris Goldenblank","982","NULL"
"804","Rodarán en Guadalajara cortometrajes de estudiantes de la UdeG","NULL","NULL","NULL","Habrá dos coproducciones con la UNAM","986","NULL"
